Biosample_RunID	Reads	Bases	Avg_Length
SAMEA7723739_ERR5004280	2432	361509	148.6467928
SAMEA7723736_ERR5004276	2500	371032	148.4128
SAMEA7724271_ERR5004050	2516	374026	148.6589825
SAMEA7723736_ERR5005063	2580	382362	148.2023256
SAMEA7723739_ERR5005067	2582	383722	148.6142525
SAMEA7724277_ERR5004843	2802	416478	148.6359743
SAMEA7723737_ERR5004277	3210	477352	148.7077882
SAMEA7723737_ERR5005064	3478	517586	148.8171363
SAMEA7724287_ERR5004066	3618	537032	148.4333886
SAMEA7724287_ERR5004853	3996	594395	148.7474975
SAMEA7724327_ERR5004168	4214	626154	148.5889891
SAMEA7724247_ERR5004010	4222	626556	148.4026528
SAMEA7724272_ERR5004051	4288	637120	148.5820896
SAMEA7724247_ERR5004797	4686	695772	148.4788732
SAMEA7723724_ERR5005035	5132	753249	146.7749415
SAMEA7723724_ERR5004248	5444	798144	146.6098457
SAMEA7723429_ERR5003679	5954	880183	147.8305341
SAMEA7723547_ERR5004281	6406	953554	148.8532626
SAMEA7724405_ERR5003726	6540	970376	148.3755352
SAMEA7724230_ERR5003944	6634	981168	147.8999096
SAMEA7723429_ERR5004466	6678	987931	147.9381551
SAMEA7723547_ERR5005068	6732	1002335	148.8911171
SAMEA7724323_ERR5004164	6840	1016727	148.6442982
SAMEA7724405_ERR5004513	6870	1019580	148.4104803
SAMEA7724254_ERR5004018	7264	1079256	148.5759912
SAMEA7724235_ERR5003998	7328	1089643	148.6958242
SAMEA7724323_ERR5004951	7338	1091184	148.7031889
SAMEA7724230_ERR5004731	7534	1114507	147.9303159
SAMEA7723493_ERR5003989	7602	1130297	148.6841621
SAMEA7724254_ERR5004805	7814	1160015	148.4534169
SAMEA7724235_ERR5004785	7930	1179961	148.7970996
SAMEA7723493_ERR5004776	7956	1183259	148.7253645
SAMEA7724262_ERR5004041	8444	1256213	148.7698958
SAMEA7723626_ERR5003789	8536	1269382	148.7092315
SAMEA7723409_ERR5004431	8772	1305096	148.7797538
SAMEA7723409_ERR5003644	8796	1307276	148.6216462
SAMEA7723626_ERR5004576	8834	1313698	148.709305
SAMEA7724262_ERR5004828	9086	1351168	148.7087827
SAMEA7724267_ERR5004833	9170	1360476	148.361614
SAMEA7724236_ERR5003999	10134	1504555	148.4660549
SAMEA7723722_ERR5004245	10144	1507320	148.5922713
SAMEA7723722_ERR5005032	10408	1547784	148.7109915
SAMEA7724236_ERR5004786	11108	1650980	148.6298163
SAMEA7724324_ERR5004165	12194	1811463	148.5536329
SAMEA7724328_ERR5004169	12456	1851707	148.6598426
SAMEA7724113_ERR5003704	13014	1934143	148.6201783
SAMEA7723545_ERR5002228	13122	1867994	142.3558909
