Biosample	Reads	Bases
SAMEA7723672	27827712	4149808986
SAMEA7723554	27810166	4124411955
SAMEA7723679	27495956	4106235844
SAMEA7724058	27086200	4008901578
SAMEA7723688	26997462	4035773161
SAMEA7723611	26888372	4008661758
SAMEA7723404	26803084	4000020845
SAMEA7723450	26759384	3993163351
SAMEA7723444	26675608	3981315979
SAMEA7723669	26511318	3943806438
SAMEA7723610	26397842	3941146177
SAMEA7723443	26334912	3933395019
SAMEA7723996	26254818	3913794739
SAMEA7724349	26213008	3671896804
SAMEA7723391	26212566	3919828442
SAMEA7723707	26203312	3900621419
SAMEA7723690	26201826	3912483935
SAMEA7723673	26070122	3884721178
SAMEA7723447	26062312	3887942280
SAMEA7723897	25975588	3881224319
SAMEA7724043	25738488	3843514916
SAMEA7723908	25661174	3826620558
SAMEA7724317	25588130	3819306749
SAMEA7723948	25555028	3807100149
SAMEA7723479	25546078	3820186539
SAMEA7723389	25432646	3798248717
SAMEA7724308	25356582	3795631150
SAMEA7723943	25303940	3748199288
SAMEA7723519	25256500	3675034758
SAMEA7724162	25249470	3751057204
SAMEA7723488	25119556	3750593522
SAMEA7724154	24937036	3711459347
SAMEA7723496	24895894	3714550914
SAMEA7724292	24869992	3705010670
SAMEA7723912	24799030	3699947797
SAMEA7724203	24675078	3671430543
SAMEA7723530	24514298	3654624513
SAMEA7724279	24355026	3640096251
SAMEA7723985	24327824	3628182023
SAMEA7723449	24318698	3629201836
SAMEA7724176	24178642	3533735692
SAMEA7724312	23894278	3560209749
SAMEA7723698	23822070	3554384505
SAMEA7723405	23670368	3506390373
SAMEA7723741	23612448	3531676373
SAMEA7723400	23512412	3496408094
SAMEA7723910	23459600	3505332227
SAMEA7723505	23456544	3464974771
SAMEA7723706	23383212	3461944991
SAMEA7723452	23265104	3465019325
SAMEA7723534	23262892	3464727841
SAMEA7724213	23207872	3472193705
SAMEA7724118	23133384	3455670221
SAMEA7723968	23057560	3427980870
SAMEA7724337	22924064	3413873809
SAMEA7724338	22914500	3408243893
SAMEA7723601	22895754	3420798298
SAMEA7724233	22780368	3406883142
SAMEA7724055	22747290	3391835159
SAMEA7723670	22710574	3378724650
SAMEA7723681	22707778	3327994987
SAMEA7723515	22571920	3310041761
SAMEA7724200	22441902	3348751749
SAMEA7723477	22346610	3343120278
SAMEA7723608	22311212	3328047115
SAMEA7724348	22138328	3271686173
SAMEA7723473	22017702	3253858929
SAMEA7723742	21989276	3282441630
SAMEA7724006	21864742	3262688407
SAMEA7724117	21730854	3235561018
SAMEA7724160	21730444	3232768179
SAMEA7723604	21371336	3186189930
SAMEA7724286	21336306	3182729653
SAMEA7723451	21322376	3189050688
SAMEA7724139	21315714	3160491487
SAMEA7724344	21136840	3121942318
SAMEA7723893	21115312	3149398872
SAMEA7723704	21093468	3134679097
SAMEA7723490	20781414	3106237870
SAMEA7724318	20774584	3106304493
SAMEA7723445	20756434	3101753688
SAMEA7724314	20734606	3100492109
SAMEA7723466	20729140	3066522165
SAMEA7724061	20610860	3076980237
SAMEA7723936	20606776	3060855446
SAMEA7723900	20532602	3069763144
SAMEA7724163	20486078	3046364968
SAMEA7724005	20479854	3039794705
SAMEA7724204	20451872	3051521177
SAMEA7723425	20314810	3029421940
SAMEA7724060	20206134	3023998700
SAMEA7724299	20137224	2994330126
SAMEA7723882	20045458	2977598622
SAMEA7723933	20022800	2989195046
SAMEA7724047	20004614	2993933543
SAMEA7723448	19995176	2984863070
SAMEA7723863	19981226	2986580193
SAMEA7724345	19943474	2972312803
SAMEA7723408	19907804	2975754373
SAMEA7723708	19876804	2966263901
SAMEA7723468	19875578	2965201203
SAMEA7723699	19791586	2944519982
SAMEA7723701	19758342	2939995205
SAMEA7723858	19713180	2948793897
SAMEA7723872	19706312	2935181579
SAMEA7724285	19650838	2930225028
SAMEA7723677	19639838	2935880728
SAMEA7723396	19604652	2930061457
SAMEA7723465	19594958	2865158680
SAMEA7723850	19408152	2894473837
SAMEA7724110	19363568	2883704515
SAMEA7723878	19341978	2880734601
SAMEA7724161	19329926	2874702488
SAMEA7723852	19230512	2872537141
SAMEA7723934	19187862	2861093487
SAMEA7724111	19165446	2865248633
SAMEA7723874	19154958	2853360228
SAMEA7723864	19141800	2862876251
SAMEA7723937	19107586	2852912648
SAMEA7724066	18984210	2831351740
SAMEA7724246	18737556	2796667638
SAMEA7723898	18727270	2792451963
SAMEA7723399	18692042	2786208037
SAMEA7723538	18683634	2771519718
SAMEA7723647	18652036	2774491436
SAMEA7723935	18629794	2779084070
SAMEA7724294	18585076	2760412012
SAMEA7724128	18576862	2778295494
SAMEA7723397	18423006	2752698360
SAMEA7723703	18340788	2728858109
SAMEA7723431	18335720	2733459671
SAMEA7723876	18286316	2726331258
SAMEA7724306	18262970	2725169385
SAMEA7723474	18221606	2717949430
SAMEA7723997	18216790	2719224099
SAMEA7724300	18216190	2716667147
SAMEA7723995	18189818	2709996777
SAMEA7724207	18047160	2675136671
SAMEA7724282	18037630	2693586595
SAMEA7723539	18035544	2695456379
SAMEA7723599	17985186	2681983082
SAMEA7723958	17912752	2673233756
SAMEA7723426	17866092	2660972316
SAMEA7723642	17864228	2656687620
SAMEA7723645	17744882	2638829375
SAMEA7723914	17711420	2640422324
SAMEA7723635	17643512	2625713734
SAMEA7724280	17634852	2632301589
SAMEA7724315	17629380	2633860399
SAMEA7723406	17487798	2590336783
SAMEA7723929	17429912	2596513526
SAMEA7724174	17397636	2555072427
SAMEA7724212	17393148	2603776902
SAMEA7724140	17373766	2571447259
SAMEA7723718	17342600	2578719934
SAMEA7723942	17320516	2577305642
SAMEA7723555	17199962	2550493892
SAMEA7724325	17184348	2567918954
SAMEA7723402	17118298	2548745856
SAMEA7724293	16998046	2532233134
SAMEA7723695	16944912	2518118716
SAMEA7723691	16892346	2525519054
SAMEA7723849	16886442	2515727719
SAMEA7723895	16797694	2505519455
SAMEA7724336	16749024	2483330194
SAMEA7723420	16744216	2493490918
SAMEA7724048	16740364	2504442874
SAMEA7723442	16739062	2503772468
SAMEA7723643	16692534	2482827085
SAMEA7723605	16663088	2491402880
SAMEA7723559	16525350	2468332044
SAMEA7723544	16472568	2454319076
SAMEA7723418	16340900	2422530078
SAMEA7724007	16325962	2428154199
SAMEA7723504	16284436	2373005909
SAMEA7724137	16273264	2421588011
SAMEA7724147	16119888	2394902506
SAMEA7723938	16096492	2391567834
SAMEA7724240	16076476	2404713587
SAMEA7723511	16015366	2387942389
SAMEA7724169	15956116	2366214014
SAMEA7724166	15952362	2373880817
SAMEA7723612	15803714	2354127982
SAMEA7724053	15760054	2357131213
SAMEA7723982	15756000	2352119433
SAMEA7723616	15708882	2333428035
SAMEA7723711	15473790	2302259686
SAMEA7723470	15450440	2209723636
SAMEA7724187	15382988	2281117643
SAMEA7723441	15333078	2291770014
SAMEA7723926	15317884	2290972324
SAMEA7723540	15236304	2274449482
SAMEA7724211	15212696	2274457557
SAMEA7723676	15163844	2264202646
SAMEA7724350	15147194	2249187341
SAMEA7724319	15128152	2256295592
SAMEA7723873	15096490	2247244792
SAMEA7723407	15071354	2236518570
SAMEA7723991	15011386	2241576555
SAMEA7723463	14959274	2227287821
SAMEA7723660	14937044	2218407758
SAMEA7723446	14921362	2226993579
SAMEA7724195	14907810	2166505248
SAMEA7723930	14873384	2219576115
SAMEA7724347	14708870	2189695148
SAMEA7723638	14696288	2180349516
SAMEA7724046	14680896	2186502104
SAMEA7723646	14603406	2173835816
SAMEA7723403	14561586	2174355270
SAMEA7724177	14519520	2160136505
SAMEA7723476	14511556	2164137329
SAMEA7723439	14379234	2143586672
SAMEA7723607	14370390	2144077254
SAMEA7723966	14335028	2139372539
SAMEA7723481	14332762	2136217473
SAMEA7723469	14298094	2132302731
SAMEA7723883	14175534	2096404476
SAMEA7723680	14127186	2106670479
SAMEA7724232	14057076	2095591262
SAMEA7723682	14056708	2095575289
SAMEA7724182	14046526	2087306519
SAMEA7723678	14045462	2096846536
SAMEA7723715	13946018	2074564068
SAMEA7723614	13884280	2069263318
SAMEA7723438	13867486	2040184430
SAMEA7723664	13852264	2061002295
SAMEA7723510	13845828	2068139117
SAMEA7723907	13819220	2061813610
SAMEA7723913	13762326	2053501857
SAMEA7723675	13649788	2037741055
SAMEA7723911	13649550	2037710723
SAMEA7723551	13609364	2032880825
SAMEA7723485	13481264	2007770282
SAMEA7723506	13409974	2005602109
SAMEA7724205	13340032	1978456366
SAMEA7723697	13267088	1985226726
SAMEA7723674	13230008	1979242579
SAMEA7724062	13196342	1943812160
SAMEA7723503	13151198	1955196071
SAMEA7724189	13096108	1946664095
SAMEA7723890	13067594	1952127845
SAMEA7724228	13019086	1946496664
SAMEA7723458	13014294	1940878794
SAMEA7724351	12987590	1932210542
SAMEA7723640	12935986	1922243727
SAMEA7724252	12909184	1924628911
SAMEA7723467	12786466	1902674433
SAMEA7723949	12763670	1905806390
SAMEA7723656	12735360	1889189109
SAMEA7723392	12711620	1894400543
SAMEA7724173	12663186	1884677526
SAMEA7723714	12641916	1879651093
SAMEA7723888	12553146	1863749754
SAMEA7723388	12363212	1841447034
SAMEA7723906	12143220	1809679097
SAMEA7723462	12103432	1806784362
SAMEA7723668	12021412	1789361623
SAMEA7724198	12020842	1791344321
SAMEA7723416	11899656	1777511117
SAMEA7723524	11844038	1769373455
SAMEA7723613	11751518	1756058642
SAMEA7723860	11665958	1742912381
SAMEA7723861	11660606	1739545879
SAMEA7724296	11653360	1740836748
SAMEA7723700	11615766	1678182809
SAMEA7723915	11587918	1730258237
SAMEA7724340	11576932	1727627174
SAMEA7724209	11498562	1710797056
SAMEA7724216	11445442	1711067201
SAMEA7724307	11393384	1706085037
SAMEA7723733	11361898	1666644899
SAMEA7723621	11316260	1682737286
SAMEA7723453	11309024	1690514788
SAMEA7723461	11243118	1676110070
