"globally unique ID","sample name","analysis/data type","environmental package","sample linkage","broad-scale environmental context","local environmental context","environmental medium","ecosystem","ecosystem_category","ecosystem_type","ecosystem_subtype","specific_ecosystem","slope aspect","history/agrochemical additions","extreme_unusual_properties/Al saturation","extreme_unusual_properties/Al saturation method","mean annual precipitation","mean annual temperature","history/crop rotation","current land use","current vegetation","current vegetation method","drainage classification","experimental factor","history/extreme events","soil_taxonomic/FAO classification","history/fire","history/flooding","extreme_unusual_properties/heavy metals","extreme_unusual_properties/heavy metals method","horizon method","link to classification information","link to climate information","soil_taxonomic/local classification","soil_taxonomic/local classification method","miscellaneous parameter","oxygenation status of sample","history/previous land use method","history/previous land use","profile position","mean seasonal precipitation","mean seasonal temperature","slope gradient","soil horizon","soil texture measurement","soil texture method","soil type","soil type method","temperature","history/tillage","water content","water content method","pH method","microbial biomass","microbial biomass method","carbon/nitrogen ratio","organic matter","organic nitrogen","total carbon","total nitrogen content","total nitrogen content method","total organic carbon","total organic carbon method","total phosphorus","phosphate","salinity","salinity method","growth facility","storage conditions","collection date","geographic location (country and/or sea,region)","geographic location (latitude and longitude)","elevation","sample storage temperature","composite design/sieving","size-fraction lower threshold","depth, meters","size-fraction upper threshold","sample material processing","biotic regimen","sample collection device","sample collection method","air temperature regimen","chemical administration","amount or size of sample collected","climate environment","gaseous environment","humidity regimen","observed biotic relationship","relationship to oxygen","light regimen","watering regimen","altitude","pH","calcium","magnesium","potassium","total nitrogen concentration","lime buffer capacity (at 30 minutes)","lime buffer capacity (after 5 day incubation)","manganese","zinc","ammonium nitrogen","nitrate nitrogen","nitrite nitrogen"
Bio-Scales:7e86c15d-456f-4237-8038-fc3da5f6f445,BESC-847-CO3_9_34_49,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-04","USA: Oregon, Corvallis","44.588254 -123.193143","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.55,"2534.64 mg/kg","469.339 mg/kg","200.771 mg/kg","0.111 Percent","630 ppm","1827 ppm","21.5092 mg/kg","2.5555 mg/kg","3.358 mg/kg","1.5495 mg/kg","0 mg/kg"
Bio-Scales:90915667-28a6-4bd7-b90d-43658729c2bc,BESC-866-CO2_58_19_93,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-08","USA: Oregon, Clatskanie","46.121406 -123.270107","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,4.95,"2188.04 mg/kg","359.242 mg/kg","87.2653 mg/kg","0.613 Percent","1471 ppm","4265.9 ppm","39.5279 mg/kg","7.5452 mg/kg","16.2875 mg/kg","16.3555 mg/kg","0 mg/kg"
Bio-Scales:e3cbf569-72ca-433e-9764-82e5f9e95bd4,BESC-866-CL3_75_7_115,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-09","USA: Oregon, Clatskanie","46.121531 -123.271098","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,5.16,"2214.14 mg/kg","459.533 mg/kg","157.254 mg/kg","0.491 Percent","1629 ppm","4724.1 ppm","31.4614 mg/kg","5.2926 mg/kg","11.0295 mg/kg","13.514 mg/kg","0 mg/kg"
Bio-Scales:0f87e064-0148-4946-9e76-4c9b85a2a3c5,BESC-866-CO3_27_48_9,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-04","USA: Oregon, Corvallis","44.588251 -123.194029","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.66,"2092.65 mg/kg","421.19 mg/kg","150.225 mg/kg","0.261 Percent","492 ppm","1426.8 ppm","19.3685 mg/kg","1.9367 mg/kg","3.4185 mg/kg","1.9945 mg/kg","0 mg/kg"
Bio-Scales:5eebed08-d6c1-4be7-a894-37885ce2e1d2,BESC-86-CL2_69_17_29,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-04","USA: Oregon, Corvallis","44.587593 -123.193547","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.69,"2107.69 mg/kg","446.918 mg/kg","209.937 mg/kg","0.395 Percent","514 ppm","1490.6 ppm","31.219 mg/kg","3.4804 mg/kg","3.154 mg/kg","0.5895 mg/kg","0 mg/kg"
Bio-Scales:1a2252a3-6f24-4d11-a50a-817756bd05c3,BESC-86-CL2_69_17_30,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-04","USA: Oregon, Corvallis","44.587593 -123.193547","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.76,"2127.44 mg/kg","436.017 mg/kg","210.536 mg/kg","0.416 Percent","480 ppm","1392 ppm","33.3969 mg/kg","3.4735 mg/kg","2.5755 mg/kg","0.407 mg/kg","0 mg/kg"
Bio-Scales:f194ae4f-8be2-44c4-811b-b15080f5dc0d,BESC-866-CL2_50_11_50,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-04","USA: Oregon, Corvallis","44.588007 -123.192696","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.73,"2347.97 mg/kg","433.255 mg/kg","208.872 mg/kg","0.118 Percent","580 ppm","1682 ppm","26.0173 mg/kg","2.955 mg/kg","3.6955 mg/kg","1.0625 mg/kg","0 mg/kg"
Bio-Scales:0e601cbc-083a-4f19-871a-e6b5915e3992,BESC-866-CO1_10_5_92,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-12","USA: Oregon, Clatskanie","46.121225 -123.270853","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,4.98,"2213.11 mg/kg","456.562 mg/kg","169.452 mg/kg","0.577 Percent","1286 ppm","3729.4 ppm","38.0788 mg/kg","9.0923 mg/kg","14.3565 mg/kg","15.816 mg/kg","0 mg/kg"
Bio-Scales:f31ac11c-dc4c-4d21-a2c9-4b19025de811,BESC-904-CL2_57_20_94,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-09","USA: Oregon, Clatskanie","46.12116 -123.270413","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,5.05,"1923.65 mg/kg","404.205 mg/kg","134.845 mg/kg","0.546 Percent","1425 ppm","4132.5 ppm","32.9005 mg/kg","6.2737 mg/kg","14.706 mg/kg","15.503 mg/kg","0 mg/kg"
Bio-Scales:0e148c1b-d7bf-4f56-86b4-852270bc33f7,BESC-904-CL3_91_3_116,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-10","USA: Oregon, Clatskanie","46.121622 -123.271675","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,5.68,"2481.96 mg/kg","524.971 mg/kg","319.684 mg/kg","0.303 Percent","1015 ppm","2943.5 ppm","50.9719 mg/kg","9.8175 mg/kg","8.5 mg/kg","20.4215 mg/kg","0 mg/kg"
Bio-Scales:4d10a1bf-0d16-42b1-ad4e-ae2f5d54acfb,BESC-904-CO1_5_9_10,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-04","USA: Oregon, Corvallis","44.588317 -123.193905","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.7,"2720.05 mg/kg","477.527 mg/kg","362.021 mg/kg","0.316 Percent","696 ppm","2018.4 ppm","28.0189 mg/kg","4.6939 mg/kg","3.517 mg/kg","1.3175 mg/kg","0 mg/kg"
Bio-Scales:8e8f007e-df8a-4d01-b082-17c957d9af16,BESC-904-CO2_51_17_31,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-04","USA: Oregon, Corvallis","44.587688 -123.193613","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.9,"1921.28 mg/kg","405.766 mg/kg","346.753 mg/kg","0.295 Percent","368 ppm","1067.2 ppm","14.3655 mg/kg","1.4905 mg/kg","1.5535 mg/kg","0.832 mg/kg","0 mg/kg"
Bio-Scales:7e39a9bf-cfc0-456e-9c15-8201d4b64020,BESC-904-CO3_16_51_51,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-04","USA: Oregon, Corvallis","44.588158 -123.192616","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.72,"2440.33 mg/kg","493.054 mg/kg","206.03 mg/kg","0.131 Percent","653 ppm","1893.7 ppm","26.9571 mg/kg","2.8401 mg/kg","4.446 mg/kg","2.935 mg/kg","0 mg/kg"
Bio-Scales:9fdeeb9d-916f-4f9e-9232-5e9aa501f12e,BESC-905-CL1_32_20_73,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-11","USA: Oregon, Clatskanie","46.121171 -123.269419","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,5,"2032.06 mg/kg","305.976 mg/kg","268.098 mg/kg","0.417 Percent","1048 ppm","3039.2 ppm","43.5453 mg/kg","4.2006 mg/kg","10.427 mg/kg","10.251 mg/kg","0 mg/kg"
Bio-Scales:697c3fe9-0216-4c28-879b-cbd499d0e41c,GW-11047-CL1_23_5_69,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-11","USA: Oregon, Clatskanie","46.12162 -123.269023","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,5.21,"1911.85 mg/kg","345.542 mg/kg","316.155 mg/kg","0.408 Percent","1690 ppm","4901 ppm","27.2552 mg/kg","4.8509 mg/kg","12.8545 mg/kg","13.422 mg/kg","0 mg/kg"
Bio-Scales:561452d6-5c04-4d0b-804a-a9233a64dd71,GW-11047-CL2_41_30_95,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-12","USA: Oregon, Clatskanie","46.120901 -123.269789","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,5.07,"2098.19 mg/kg","349.431 mg/kg","287.194 mg/kg","0.265 Percent","1458 ppm","4228.2 ppm","49.2782 mg/kg","5.4742 mg/kg","7.291 mg/kg","18.1425 mg/kg","0 mg/kg"
Bio-Scales:0e53e0a2-6cd7-4db5-972e-53b19425b5ff,GW-11047-CL2_41_30_96,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-12","USA: Oregon, Clatskanie","46.120901 -123.269789","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,5.05,"2125.17 mg/kg","347.818 mg/kg","280.278 mg/kg","0.281 Percent","1180 ppm","3422 ppm","48.6819 mg/kg","5.4467 mg/kg","7.2955 mg/kg","17.694 mg/kg","0 mg/kg"
Bio-Scales:42447e38-8160-4c0c-a208-4e6d35f41e4e,GW-4579-CL1_25_23_70,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-07","USA: Oregon, Clatskanie","46.121108 -123.269142","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,5.63,"2257.22 mg/kg","395.375 mg/kg","225.714 mg/kg","0.318 Percent","945 ppm","2740.5 ppm","38.9692 mg/kg","6.5758 mg/kg","15.59 mg/kg","21.7185 mg/kg","0 mg/kg"
Bio-Scales:14a54a0b-6d86-4314-a1eb-7ddd0df9168a,GW-4579-CL2_50_20_97,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-08","USA: Oregon, Clatskanie","46.121233 -123.270148","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,5.11,"2038.63 mg/kg","387.456 mg/kg","105.809 mg/kg","0.578 Percent","1364 ppm","3955.6 ppm","39.464 mg/kg","6.2449 mg/kg","13.491 mg/kg","23.581 mg/kg","0 mg/kg"
Bio-Scales:622acce5-ab52-4ce7-9f92-118cb0385f26,GW-4579-CL3_72_14_117,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-09","USA: Oregon, Clatskanie","46.121352 -123.270987","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,5.48,"2247.43 mg/kg","537.364 mg/kg","344.304 mg/kg","0.446 Percent","1188 ppm","3445.2 ppm","32.625 mg/kg","6.7106 mg/kg","10.6855 mg/kg","10.6955 mg/kg","0 mg/kg"
Bio-Scales:9bee0afa-fc77-4558-b27f-b53b45afc84b,GW-4579-CO1_14_4_11,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-03","USA: Oregon, Corvallis","44.588192 -123.19405","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.4,"2598.35 mg/kg","516.737 mg/kg","179.191 mg/kg","0.392 Percent","732 ppm","2122.8 ppm","26.229 mg/kg","3.1196 mg/kg","3.063 mg/kg","1.989 mg/kg","0 mg/kg"
Bio-Scales:9fa67d23-62e8-4095-8f17-15466eb575e7,GW-4579-CO1_14_4_12,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-03","USA: Oregon, Corvallis","44.588192 -123.19405","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.42,"2547.83 mg/kg","481.129 mg/kg","166.389 mg/kg","0.35 Percent","726 ppm","2105.4 ppm","25.2036 mg/kg","2.948 mg/kg","3.7375 mg/kg","1.8265 mg/kg","0 mg/kg"
Bio-Scales:28e7c7f1-6251-407e-bb6a-3f0c14137bbf,GW-4579-CO2_44_8_32,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-03","USA: Oregon, Corvallis","44.587786 -123.193893","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.37,"2449.89 mg/kg","450.242 mg/kg","255.944 mg/kg","0.374 Percent","652 ppm","1890.8 ppm","26.1187 mg/kg","4.4023 mg/kg","3.9165 mg/kg","2.0535 mg/kg","0 mg/kg"
Bio-Scales:dbf64f9e-246d-4387-9ae4-f9c4f00c3856,GW-4579-CO3_14_51_52,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-04","USA: Oregon, Corvallis","44.588185 -123.192616","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.62,"2631.36 mg/kg","557.714 mg/kg","203.92 mg/kg","0.173 Percent","810 ppm","2349 ppm","30.7649 mg/kg","3.1255 mg/kg","5.5805 mg/kg","4.5255 mg/kg","0 mg/kg"
Bio-Scales:e97696e9-0775-44aa-9f8e-2ae5d91207c4,GW-9591-CL1_34_16_71,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-07","USA: Oregon, Clatskanie","46.121285 -123.269504","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,4.85,"1480.06 mg/kg","219.335 mg/kg","114.646 mg/kg","0.369 Percent","1239 ppm","3593.1 ppm","24.6956 mg/kg","2.3316 mg/kg","12.972 mg/kg","9.3675 mg/kg","0 mg/kg"
Bio-Scales:27e75273-3218-462d-b7c8-01b2fc268070,GW-9591-CL1_34_16_72,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-07","USA: Oregon, Clatskanie","46.121285 -123.269504","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,4.86,"1485.63 mg/kg","216.267 mg/kg","117.171 mg/kg","0.383 Percent","1665 ppm","4828.5 ppm","24.5174 mg/kg","2.2403 mg/kg","12.174 mg/kg","7.669 mg/kg","0 mg/kg"
Bio-Scales:1c7945df-9b20-40e9-aafc-96f99d3dfdd5,GW-9591-CL2_56_12_98,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-08","USA: Oregon, Clatskanie","46.121439 -123.270375","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,5.04,"2380.02 mg/kg","440.041 mg/kg","73.1555 mg/kg","0.603 Percent","1707 ppm","4950.3 ppm","50.4862 mg/kg","6.0461 mg/kg","18.515 mg/kg","26.191 mg/kg","0 mg/kg"
Bio-Scales:b6cf1f9d-a225-4a78-b040-abdf7e32281b,GW-9591-CL3_98_5_118,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-10","USA: Oregon, Clatskanie","46.121521 -123.27199","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,4.83,"1660.1 mg/kg","307.229 mg/kg","161.602 mg/kg","0.326 Percent","1395 ppm","4045.5 ppm","23.6988 mg/kg","3.1 mg/kg","11.8795 mg/kg","9.4465 mg/kg","0 mg/kg"
Bio-Scales:c61972e7-b39b-4d66-95db-22dedc657e22,GW-9591-CL3_98_5_119,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-10","USA: Oregon, Clatskanie","46.121521 -123.27199","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,4.87,"1786.74 mg/kg","341.65 mg/kg","178.448 mg/kg","0.319 Percent","1455 ppm","4219.5 ppm","28.408 mg/kg","3.4858 mg/kg","11.577 mg/kg","10.448 mg/kg","0 mg/kg"
Bio-Scales:61c00f6b-bb74-4b78-b4fe-55544d353ad8,GW-9591-CO1_16_8_13,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-03","USA: Oregon, Corvallis","44.588162 -123.19393","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.64,"1945.98 mg/kg","351.875 mg/kg","304.965 mg/kg","0.242 Percent","449 ppm","1302.1 ppm","17.688 mg/kg","2.6576 mg/kg","1.8015 mg/kg","1.698 mg/kg","0 mg/kg"
Bio-Scales:89002fa1-fd0a-4c51-974d-e120f2f3893c,GW-9591-CO2_62_24_33,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-03","USA: Oregon, Corvallis","44.587532 -123.193385","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.48,"1764.86 mg/kg","312.3 mg/kg","222.738 mg/kg","0.25 Percent","377 ppm","1093.3 ppm","14.6228 mg/kg","3.4332 mg/kg","2.1955 mg/kg","0.836 mg/kg","0 mg/kg"
Bio-Scales:b750433b-7016-4f90-ab75-210a0353db35,GW-9591-CO3_35_48_53,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-04","USA: Oregon, Corvallis","44.587894 -123.192683","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.88,"2419.11 mg/kg","469.368 mg/kg","550.042 mg/kg","0.121 Percent","614 ppm","1780.6 ppm","26.6335 mg/kg","3.4032 mg/kg","4.7875 mg/kg","4.642 mg/kg","3.2 mg/kg"
Bio-Scales:8bac7998-a880-45dc-9f9c-d70a387ed3f1,GW-9591-CO3_35_48_54,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-04","USA: Oregon, Corvallis","44.587894 -123.192683","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.88,"2267.67 mg/kg","456.284 mg/kg","491.482 mg/kg","0.141 Percent","576 ppm","1670.4 ppm","24.8096 mg/kg","3.1935 mg/kg","3.866 mg/kg","2.2445 mg/kg","0.293 mg/kg"
