"globally unique ID","sample name","analysis/data type","environmental package","sample linkage","broad-scale environmental context","local environmental context","environmental medium","ecosystem","ecosystem_category","ecosystem_type","ecosystem_subtype","specific_ecosystem","slope aspect","history/agrochemical additions","extreme_unusual_properties/Al saturation","extreme_unusual_properties/Al saturation method","mean annual precipitation","mean annual temperature","history/crop rotation","current land use","current vegetation","current vegetation method","drainage classification","experimental factor","history/extreme events","soil_taxonomic/FAO classification","history/fire","history/flooding","extreme_unusual_properties/heavy metals","extreme_unusual_properties/heavy metals method","horizon method","link to classification information","link to climate information","soil_taxonomic/local classification","soil_taxonomic/local classification method","miscellaneous parameter","oxygenation status of sample","history/previous land use method","history/previous land use","profile position","mean seasonal precipitation","mean seasonal temperature","slope gradient","soil horizon","soil texture measurement","soil texture method","soil type","soil type method","temperature","history/tillage","water content","water content method","pH method","microbial biomass","microbial biomass method","carbon/nitrogen ratio","organic matter","organic nitrogen","total carbon","total nitrogen content","total nitrogen content method","total organic carbon","total organic carbon method","total phosphorus","phosphate","salinity","salinity method","growth facility","storage conditions","collection date","geographic location (country and/or sea,region)","geographic location (latitude and longitude)","elevation","sample storage temperature","composite design/sieving","size-fraction lower threshold","depth, meters","size-fraction upper threshold","sample material processing","biotic regimen","sample collection device","sample collection method","air temperature regimen","chemical administration","amount or size of sample collected","climate environment","gaseous environment","humidity regimen","observed biotic relationship","relationship to oxygen","light regimen","watering regimen","altitude","pH","calcium","magnesium","potassium","total nitrogen concentration","lime buffer capacity (at 30 minutes)","lime buffer capacity (after 5 day incubation)","manganese","zinc","ammonium nitrogen","nitrate nitrogen","nitrite nitrogen"
Bio-Scales:0089aebc-d5f6-4241-a982-13cf5115ff60,BESC-845-CL2_37_16_102,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-07","USA: Oregon, Clatskanie","46.12132 -123.269603","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,5.2,"2469.26 mg/kg","419.359 mg/kg","132.153 mg/kg","0.481 Percent","1159 ppm","3361.1 ppm","53.867 mg/kg","7.7856 mg/kg","15.8165 mg/kg","12.808 mg/kg","0 mg/kg"
Bio-Scales:f3f3d3f3-c7d7-4272-b1d6-1dad50308441,BESC-845-CL3_80_19_121,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-10","USA: Oregon, Clatskanie","46.121204 -123.271338","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,5.47,"2644.35 mg/kg","568.66 mg/kg","205.043 mg/kg","0.329 Percent","1144 ppm","3317.6 ppm","67.1221 mg/kg","8.4669 mg/kg","8.6505 mg/kg","11.5955 mg/kg","0 mg/kg"
Bio-Scales:fd454f94-4eb4-4543-972c-9087e5818379,BESC-845-CO1_24_3_16,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-02","USA: Oregon, Corvallis","44.588056 -123.194069","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.6,"2435.54 mg/kg","502.549 mg/kg","210.143 mg/kg","0.4 Percent","677 ppm","1963.3 ppm","29.6194 mg/kg","4.0575 mg/kg","3.6545 mg/kg","1.111 mg/kg","0 mg/kg"
Bio-Scales:bf05cdf1-e466-48fa-8e20-d10b24216760,BESC-845-CO2_60_28_37,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-05","USA: Oregon, Corvallis","44.587562 -123.193264","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.37,"1496 mg/kg","294.494 mg/kg","118.741 mg/kg","0.06 Percent","348 ppm","1009.2 ppm","11.751 mg/kg","1.5662 mg/kg","2.0195 mg/kg","0.24 mg/kg","0 mg/kg"
Bio-Scales:5cace0c2-14d4-4312-8410-bb6a2c98a8eb,BESC-845-CO3_28_42_57,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-03","USA: Oregon, Corvallis","44.587994 -123.192874","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.81,"2254.4 mg/kg","442.037 mg/kg","395.228 mg/kg","0.144 Percent","636 ppm","1844.4 ppm","25.3905 mg/kg","3.6902 mg/kg","3.002 mg/kg","1.333 mg/kg","0.297 mg/kg"
Bio-Scales:d4bdbe90-f91e-4455-b9b5-e50012ef4aa6,BESC-847-CL1_28_5_68,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-07","USA: Oregon, Clatskanie","46.121579 -123.269208","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,4.88,"1320.04 mg/kg","195.602 mg/kg","146.363 mg/kg","0.527 Percent","1409 ppm","4086.1 ppm","16.6842 mg/kg","2.7223 mg/kg","20.6825 mg/kg","12.746 mg/kg","0 mg/kg"
Bio-Scales:2bfea1ae-526d-4352-bc84-a92023e81de5,BESC-847-CL2_38_7_91,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-07","USA: Oregon, Clatskanie","46.121497 -123.269638","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,4.84,"1846.09 mg/kg","291.535 mg/kg","168.937 mg/kg","0.513 Percent","1558 ppm","4518.2 ppm","23.2667 mg/kg","5.1776 mg/kg","16.3295 mg/kg","14.395 mg/kg","0 mg/kg"
Bio-Scales:b1e3510a-6c27-4ea4-bf67-df013d5360d0,BESC-847-CL3_83_27_114,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-10","USA: Oregon, Clatskanie","46.121012 -123.271438","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,5.34,"2522.96 mg/kg","435.812 mg/kg","293.434 mg/kg","0.319 Percent","1100 ppm","3190 ppm","48.1777 mg/kg","8.3322 mg/kg","8.3875 mg/kg","19.8355 mg/kg","0 mg/kg"
Bio-Scales:def2f84a-dd42-4005-9703-25c47a931f54,BESC-847-CO1_12_9_8,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-03","USA: Oregon, Corvallis","44.588219 -123.193899","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.54,"2322.55 mg/kg","440.421 mg/kg","206.227 mg/kg","0.3 Percent","539 ppm","1563.1 ppm","21.3753 mg/kg","2.8677 mg/kg","2.7645 mg/kg","4.8475 mg/kg","0 mg/kg"
Bio-Scales:2734ce81-7c8a-4c7a-bc01-1a32d35dd1aa,BESC-847-CO2_69_13_28,natural organic matter,soil,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],Environmental,Terrestrial,Soil,Bulk soil,Agricultural soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,experimental_garden,fresh,"2020-09-03","USA: Oregon, Corvallis","44.587442 -123.193709","62 meter","4 C",,,"0.1",,,,,,,,,,,,,,,,,6.41,"1287.48 mg/kg","250.941 mg/kg","129.847 mg/kg","0.261 Percent","296 ppm","858.4 ppm","16.0294 mg/kg","1.265 mg/kg","3.8565 mg/kg","0.542 mg/kg","0 mg/kg"
