CUI-less	envo.json	CHEBI:25213	metal cation	metal cation	biolink:ChemicalSubstance
CUI-less	envo.json	CHEBI:25212	metabolite	metabolite	biolink:ChemicalSubstance
CUI-less	envo.json	CHEBI:25216	metalloporphyrin	metalloporphyrin	biolink:ChemicalSubstance
CUI-less	envo.json	UBERON:0011595	jaw region	jaw region	biolink:AnatomicalEntity
CUI-less	envo.json	CHEBI:76807	EC 3.5.1.* (non-peptide linear amide C-N hydrolase) inhibitor	EC 3.5.1.* (non-peptide linear amide C-N hydrolase) inhibitor	biolink:ChemicalSubstance
CUI-less	envo.json	FOODON:03400204	candy (us cfr)	candy (us cfr)	biolink:OntologyClass
CUI-less	envo.json	UBERON:0010258	mesenchyme from rhombencephalic neural crest	mesenchyme from rhombencephalic neural crest	biolink:AnatomicalEntity
CUI-less	envo.json	UBERON:0010259_SYNONYM	pharyngeal arch 1 mesenchyme from neural crest	1st arch mesenchyme from neural crest	biolink:AnatomicalEntity
CUI-less	envo.json	UBERON:0010259_SYNONYM	neural crest derived arch 1 mesenchyme	1st arch mesenchyme from neural crest	biolink:AnatomicalEntity
CUI-less	envo.json	UBERON:0010259_SYNONYM	branchial arch 1 mesenchyme from neural crest	1st arch mesenchyme from neural crest	biolink:AnatomicalEntity
CUI-less	envo.json	UBERON:0010259_SYNONYM	mesenchyme derived from neural crest of mesenchyme of 1st arch	1st arch mesenchyme from neural crest	biolink:AnatomicalEntity
CUI-less	envo.json	UBERON:0010259	1st arch mesenchyme from neural crest	1st arch mesenchyme from neural crest	biolink:AnatomicalEntity
CUI-less	envo.json	FOODON:03400209	fruit jelly (us cfr)	fruit jelly (us cfr)	biolink:OntologyClass
CUI-less	envo.json	CHEBI:27889	lead(0)	lead(0)	biolink:ChemicalSubstance
CUI-less	envo.json	CHEBI:27888	chlorophyll b	chlorophyll b	biolink:ChemicalSubstance
CUI-less	envo.json	UBERON:0010252	1st arch mandibular mesenchyme from neural crest	1st arch mandibular mesenchyme from neural crest	biolink:AnatomicalEntity
CUI-less	envo.json	UBERON:0011582_SYNONYM	skeletal parts of limb/fin	paired limb/fin skeleton	biolink:AnatomicalEntity
CUI-less	envo.json	UBERON:0011582_SYNONYM	skeleton of limb/fin	paired limb/fin skeleton	biolink:AnatomicalEntity
CUI-less	envo.json	UBERON:0011582_SYNONYM	limb/fin skeleton	paired limb/fin skeleton	biolink:AnatomicalEntity
CUI-less	envo.json	UBERON:0011582	paired limb/fin skeleton	paired limb/fin skeleton	biolink:AnatomicalEntity
CUI-less	envo.json	UBERON:0011585	cell condensation	cell condensation	biolink:AnatomicalEntity
CUI-less	envo.json	FOODON:03400213	fudge (us cfr)	fudge (us cfr)	biolink:OntologyClass
CUI-less	envo.json	CHEBI:27856	acetamide	acetamide	biolink:ChemicalSubstance
CUI-less	envo.json	NCBITaxon:13468_SYNONYM	cypress	Cupressus	biolink:OrganismalEntity
CUI-less	envo.json	NCBITaxon:13468	Cupressus	Cupressus	biolink:OrganismalEntity
CUI-less	envo.json	CHEBI:26523	reactive oxygen species	reactive oxygen species	biolink:ChemicalSubstance
CUI-less	envo.json	CHEBI:76838	EC 1.14.14.* (oxidoreductase acting on paired donors, incorporating of 1 atom of oxygen, with reduced flavin or flavoprotein as one donor) inhibitor	EC 1.14.14.* (oxidoreductase acting on paired donors, incorporating of 1 atom of oxygen, with reduced flavin or flavoprotein as one donor) inhibitor	biolink:ChemicalSubstance
CUI-less	envo.json	UBERON:0010230_SYNONYM	eyeball	eyeball of camera-type eye	biolink:AnatomicalEntity
CUI-less	envo.json	UBERON:0010230_SYNONYM	eye globe	eyeball of camera-type eye	biolink:AnatomicalEntity
CUI-less	envo.json	UBERON:0010230_SYNONYM	eye	eyeball of camera-type eye	biolink:AnatomicalEntity
CUI-less	envo.json	UBERON:0010230_SYNONYM	bulbus oculi	eyeball of camera-type eye	biolink:AnatomicalEntity
