Biosample,Reads,Bases,projectGoldId,biosampleGoldId,sequencingStrategy
SAMEA7724145,339787226,50547747006,Gp0619086,Gb0315992,Metagenome
SAMEA7724145,339787226,50547747006,Gp0620000,Gb0315992,Targeted Gene Survey
SAMEA7723624,232893114,34662414430,Gp0618999,Gb0315905,Metagenome
SAMEA7723624,232893114,34662414430,Gp0619572,Gb0315905,Targeted Gene Survey
SAMEA7724197,170834278,25377703477,Gp0619214,Gb0240070,Targeted Gene Survey
SAMEA7724197,170834278,25377703477,Gp0452696,Gb0240070,Metagenome
SAMEA7724237,144432486,21433063231,Gp0619249,Gb0239968,Targeted Gene Survey
SAMEA7724237,144432486,21433063231,Gp0452594,Gb0239968,Metagenome
SAMEA7723998,124655850,17430255786,Gp0619077,Gb0315983,Metagenome
SAMEA7723998,124655850,17430255786,Gp0619880,Gb0315983,Targeted Gene Survey
SAMEA7724298,99912236,14857595036,Gp0619310,Gb0239919,Targeted Gene Survey
SAMEA7724298,99912236,14857595036,Gp0452545,Gb0239919,Metagenome
SAMEA7724316,88306774,13126072881,Gp0452656,Gb0240030,Metagenome
SAMEA7724316,88306774,13126072881,Gp0619328,Gb0240030,Targeted Gene Survey
SAMEA7724346,79303250,11787859475,Gp0452676,Gb0240050,Metagenome
SAMEA7724346,79303250,11787859475,Gp0619348,Gb0240050,Targeted Gene Survey
SAMEA7723629,73989792,11012377306,Gp0619577,Gb0315910,Targeted Gene Survey
SAMEA7723629,73989792,11012377306,Gp0619004,Gb0315910,Metagenome
SAMEA7724115,69795196,10376325557,Gp0619198,Gb0239961,Targeted Gene Survey
SAMEA7724115,69795196,10376325557,Gp0452587,Gb0239961,Metagenome
SAMEA7724304,66196094,9833490932,Gp0452551,Gb0239925,Metagenome
SAMEA7724304,66196094,9833490932,Gp0619316,Gb0239925,Targeted Gene Survey
SAMEA7723514,59707016,8915705313,Gp0619465,Gb0315872,Targeted Gene Survey
SAMEA7723514,59707016,8915705313,Gp0618966,Gb0315872,Metagenome
SAMEA7723456,55362236,8159973742,Gp0618960,Gb0315866,Metagenome
SAMEA7723456,55362236,8159973742,Gp0619409,Gb0315866,Targeted Gene Survey
SAMEA7723994,54922124,8211103615,Gp0619073,Gb0315979,Metagenome
SAMEA7723994,54922124,8211103615,Gp0619876,Gb0315979,Targeted Gene Survey
SAMEA7724202,54917320,8169993676,Gp0452689,Gb0240063,Metagenome
SAMEA7724202,54917320,8169993676,Gp0619219,Gb0240063,Targeted Gene Survey
SAMEA7723532,53520774,7999428476,Gp0618984,Gb0315890,Metagenome
SAMEA7723532,53520774,7999428476,Gp0619483,Gb0315890,Targeted Gene Survey
SAMEA7724291,51231246,7615367966,Gp0452644,Gb0240018,Metagenome
SAMEA7724291,51231246,7615367966,Gp0619303,Gb0240018,Targeted Gene Survey
SAMEA7723623,50862334,7572984338,Gp0618998,Gb0315904,Metagenome
SAMEA7723623,50862334,7572984338,Gp0619571,Gb0315904,Targeted Gene Survey
SAMEA7723980,50050946,7431231671,Gp0619059,Gb0315965,Metagenome
SAMEA7723980,50050946,7431231671,Gp0619862,Gb0315965,Targeted Gene Survey
SAMEA7723459,49732174,7415985596,Gp0619412,Gb0315869,Targeted Gene Survey
