Biosample,Reads,Bases,projectGoldId,biosampleGoldId,sequencingStrategy
SAMEA7723459,49732174,7415985596,Gp0618963,Gb0315869,Metagenome
SAMEA7723987,47641802,7124553207,Gp0619066,Gb0315972,Metagenome
SAMEA7723987,47641802,7124553207,Gp0619869,Gb0315972,Targeted Gene Survey
SAMEA7723455,46655554,6962031922,Gp0618959,Gb0315865,Metagenome
SAMEA7723455,46655554,6962031922,Gp0619408,Gb0315865,Targeted Gene Survey
SAMEA7723627,46374074,6897673987,Gp0619002,Gb0315908,Metagenome
SAMEA7723627,46374074,6897673987,Gp0619575,Gb0315908,Targeted Gene Survey
SAMEA7723412,46297144,6910920199,Gp0618954,Gb0315860,Metagenome
SAMEA7723412,46297144,6910920199,Gp0619381,Gb0315860,Targeted Gene Survey
SAMEA7723457,45890702,6840393632,Gp0619410,Gb0315867,Targeted Gene Survey
SAMEA7723457,45890702,6840393632,Gp0618961,Gb0315867,Metagenome
SAMEA7723520,45629122,6821911029,Gp0618972,Gb0315878,Metagenome
SAMEA7723520,45629122,6821911029,Gp0619471,Gb0315878,Targeted Gene Survey
SAMEA7723410,43587964,6508706432,Gp0618952,Gb0315858,Metagenome
SAMEA7723410,43587964,6508706432,Gp0619379,Gb0315858,Targeted Gene Survey
SAMEA7723528,43230948,6454525370,Gp0618980,Gb0315886,Metagenome
SAMEA7723528,43230948,6454525370,Gp0619479,Gb0315886,Targeted Gene Survey
SAMEA7723988,42798180,6321475614,Gp0619870,Gb0315973,Targeted Gene Survey
SAMEA7723988,42798180,6321475614,Gp0619067,Gb0315973,Metagenome
SAMEA7723533,42429276,6331737914,Gp0619484,Gb0315891,Targeted Gene Survey
SAMEA7723533,42429276,6331737914,Gp0618985,Gb0315891,Metagenome
SAMEA7723990,42367538,6330086031,Gp0619872,Gb0315975,Targeted Gene Survey
SAMEA7723990,42367538,6330086031,Gp0619069,Gb0315975,Metagenome
SAMEA7723986,42204706,6299417946,Gp0619868,Gb0315971,Targeted Gene Survey
SAMEA7723986,42204706,6299417946,Gp0619065,Gb0315971,Metagenome
SAMEA7723527,41359982,6187804266,Gp0619478,Gb0315885,Targeted Gene Survey
SAMEA7723527,41359982,6187804266,Gp0618979,Gb0315885,Metagenome
SAMEA7723523,41349172,6042684837,Gp0618975,Gb0315881,Metagenome
SAMEA7723523,41349172,6042684837,Gp0619474,Gb0315881,Targeted Gene Survey
SAMEA7723984,41149372,6111314367,Gp0619866,Gb0315969,Targeted Gene Survey
SAMEA7723984,41149372,6111314367,Gp0619063,Gb0315969,Metagenome
SAMEA7724210,40031524,5987351462,Gp0452715,Gb0240089,Metagenome
SAMEA7724210,40031524,5987351462,Gp0619227,Gb0240089,Targeted Gene Survey
SAMEA7723983,39667370,5893281029,Gp0619865,Gb0315968,Targeted Gene Survey
SAMEA7723983,39667370,5893281029,Gp0619062,Gb0315968,Metagenome
SAMEA7723411,39046164,5831959606,Gp0618953,Gb0315859,Metagenome
SAMEA7723411,39046164,5831959606,Gp0619380,Gb0315859,Targeted Gene Survey
SAMEA7723609,38991178,5820076498,Gp0619560,Gb0315897,Targeted Gene Survey
SAMEA7723609,38991178,5820076498,Gp0618991,Gb0315897,Metagenome
SAMEA7724199,38305184,5711305815,Gp0452698,Gb0240072,Metagenome
SAMEA7724199,38305184,5711305815,Gp0619216,Gb0240072,Targeted Gene Survey
SAMEA7723989,37596328,5622397600,Gp0619871,Gb0315974,Targeted Gene Survey
SAMEA7723989,37596328,5622397600,Gp0619068,Gb0315974,Metagenome
SAMEA7723428,37591816,5598397963,Gp0619147,Gb0240111,Targeted Gene Survey
SAMEA7723428,37591816,5598397963,Gp0452737,Gb0240111,Metagenome
SAMEA7723535,36456090,5453149764,Gp0619486,Gb0315893,Targeted Gene Survey
SAMEA7723535,36456090,5453149764,Gp0618987,Gb0315893,Metagenome
SAMEA7723683,36415844,5437923616,Gp0619631,Gb0315952,Targeted Gene Survey
SAMEA7723683,36415844,5437923616,Gp0619046,Gb0315952,Metagenome
SAMEA7724217,36133760,5364600159,Gp0619234,Gb0240094,Targeted Gene Survey
SAMEA7724217,36133760,5364600159,Gp0452720,Gb0240094,Metagenome
SAMEA7723981,35997806,5265831835,Gp0619060,Gb0315966,Metagenome
SAMEA7723981,35997806,5265831835,Gp0619863,Gb0315966,Targeted Gene Survey
SAMEA7723543,35867770,5267523611,Gp0619494,Gb0297358,Targeted Gene Survey
SAMEA7723543,35867770,5267523611,Gp0578018,Gb0297358,Metagenome
SAMEA7723977,35464044,5302890830,Gp0619056,Gb0315962,Metagenome
SAMEA7723977,35464044,5302890830,Gp0619859,Gb0315962,Targeted Gene Survey
SAMEA7724168,35061034,5206833360,Gp0620023,Gb0316015,Targeted Gene Survey
SAMEA7724168,35061034,5206833360,Gp0619109,Gb0316015,Metagenome
SAMEA7724153,34826156,5184033228,Gp0619094,Gb0316000,Metagenome
SAMEA7724153,34826156,5184033228,Gp0620008,Gb0316000,Targeted Gene Survey
SAMEA7723979,34526196,5152012669,Gp0619058,Gb0315964,Metagenome
SAMEA7723979,34526196,5152012669,Gp0619861,Gb0315964,Targeted Gene Survey
SAMEA7723920,34408130,5133980028,Gp0618516,Gb0315422,Metagenome
SAMEA7723920,34408130,5133980028,Gp0619812,Gb0315422,Targeted Gene Survey
SAMEA7723525,34398418,5077893639,Gp0619476,Gb0315883,Targeted Gene Survey
SAMEA7723525,34398418,5077893639,Gp0618977,Gb0315883,Metagenome
SAMEA7724343,34327186,5106983574,Gp0452673,Gb0240047,Metagenome
SAMEA7724343,34327186,5106983574,Gp0619345,Gb0240047,Targeted Gene Survey
SAMEA7723884,33758974,4647779309,Gp0618878,Gb0315784,Metagenome
SAMEA7723884,33758974,4647779309,Gp0619784,Gb0315784,Targeted Gene Survey
SAMEA7723414,33574376,5011173902,Gp0619383,Gb0315862,Targeted Gene Survey
SAMEA7723414,33574376,5011173902,Gp0618956,Gb0315862,Metagenome
SAMEA7723685,33420804,4990782533,Gp0619633,Gb0315954,Targeted Gene Survey
SAMEA7723685,33420804,4990782533,Gp0619048,Gb0315954,Metagenome
SAMEA7724333,33308576,4950211907,Gp0452663,Gb0240037,Metagenome
SAMEA7724333,33308576,4950211907,Gp0619335,Gb0240037,Targeted Gene Survey
SAMEA7723437,33053546,4908563421,Gp0618846,Gb0315752,Metagenome
SAMEA7723437,33053546,4908563421,Gp0619397,Gb0315752,Targeted Gene Survey
SAMEA7723978,33044542,4905178289,Gp0619860,Gb0315963,Targeted Gene Survey
SAMEA7723978,33044542,4905178289,Gp0619057,Gb0315963,Metagenome
SAMEA7723500,32825038,4872652233,Gp0618739,Gb0315645,Metagenome
SAMEA7723500,32825038,4872652233,Gp0619451,Gb0315645,Targeted Gene Survey
SAMEA7723517,32089772,4789979512,Gp0619468,Gb0315875,Targeted Gene Survey
SAMEA7723517,32089772,4789979512,Gp0618969,Gb0315875,Metagenome
SAMEA7723394,31646610,4722228439,Gp0619363,Gb0315747,Targeted Gene Survey
SAMEA7723394,31646610,4722228439,Gp0618841,Gb0315747,Metagenome
SAMEA7724221,31562282,4683941285,Gp0619238,Gb0240085,Targeted Gene Survey
SAMEA7724221,31562282,4683941285,Gp0452711,Gb0240085,Metagenome
SAMEA7724184,31225912,4644335493,Gp0619125,Gb0316031,Metagenome
SAMEA7724184,31225912,4644335493,Gp0620039,Gb0316031,Targeted Gene Survey
SAMEA7723671,31157580,4655873940,Gp0578149,Gb0297370,Metagenome
SAMEA7723671,31157580,4655873940,Gp0619619,Gb0297370,Targeted Gene Survey
SAMEA7723440,30931130,4631183568,Gp0619400,Gb0315755,Targeted Gene Survey
SAMEA7723440,30931130,4631183568,Gp0618849,Gb0315755,Metagenome
SAMEA7724208,30885370,4599684802,Gp0619225,Gb0240087,Targeted Gene Survey
SAMEA7724208,30885370,4599684802,Gp0452713,Gb0240087,Metagenome
SAMEA7723693,30262550,4514124857,Gp0618899,Gb0315805,Metagenome
SAMEA7723693,30262550,4514124857,Gp0619641,Gb0315805,Targeted Gene Survey
SAMEA7723536,30155592,4495527173,Gp0619487,Gb0315894,Targeted Gene Survey
SAMEA7723536,30155592,4495527173,Gp0618988,Gb0315894,Metagenome
SAMEA7723696,30145892,4494055110,Gp0619644,Gb0315808,Targeted Gene Survey
SAMEA7723696,30145892,4494055110,Gp0618902,Gb0315808,Metagenome
SAMEA7723529,30025610,4477448837,Gp0618981,Gb0315887,Metagenome
SAMEA7723529,30025610,4477448837,Gp0619480,Gb0315887,Targeted Gene Survey
SAMEA7723454,29975740,4445881674,Gp0619407,Gb0315797,Targeted Gene Survey
SAMEA7723454,29975740,4445881674,Gp0618891,Gb0315797,Metagenome
SAMEA7723928,29712098,4425383492,Gp0619053,Gb0315959,Metagenome
SAMEA7723928,29712098,4425383492,Gp0619816,Gb0315959,Targeted Gene Survey
SAMEA7724278,29652900,4408352823,Gp0452636,Gb0240010,Metagenome
SAMEA7724278,29652900,4408352823,Gp0619290,Gb0240010,Targeted Gene Survey
SAMEA7724310,29556098,4411204307,Gp0619322,Gb0240024,Targeted Gene Survey
SAMEA7724310,29556098,4411204307,Gp0452650,Gb0240024,Metagenome
SAMEA7723886,29316860,4379858528,Gp0619786,Gb0315786,Targeted Gene Survey
SAMEA7723886,29316860,4379858528,Gp0618880,Gb0315786,Metagenome
SAMEA7724196,29262678,4358106162,Gp0619213,Gb0240069,Targeted Gene Survey
SAMEA7724196,29262678,4358106162,Gp0452695,Gb0240069,Metagenome
SAMEA7723856,29124974,4348955355,Gp0618867,Gb0315773,Metagenome
SAMEA7723856,29124974,4348955355,Gp0619756,Gb0315773,Targeted Gene Survey
SAMEA7724065,29092280,4335310927,Gp0619947,Gb0297470,Targeted Gene Survey
SAMEA7724065,29092280,4335310927,Gp0578415,Gb0297470,Metagenome
SAMEA7723395,28994104,4329934897,Gp0618842,Gb0315748,Metagenome
SAMEA7723395,28994104,4329934897,Gp0619364,Gb0315748,Targeted Gene Survey
SAMEA7723689,28972086,4321628071,Gp0619637,Gb0315801,Targeted Gene Survey
SAMEA7723689,28972086,4321628071,Gp0618895,Gb0315801,Metagenome
SAMEA7724178,28934860,4298872926,Gp0619119,Gb0316025,Metagenome
SAMEA7724178,28934860,4298872926,Gp0620033,Gb0316025,Targeted Gene Survey
SAMEA7723972,28768008,4295485245,Gp0578373,Gb0297428,Metagenome
SAMEA7723972,28768008,4295485245,Gp0619854,Gb0297428,Targeted Gene Survey
SAMEA7723976,28654932,4278657539,Gp0619055,Gb0315961,Metagenome
SAMEA7723976,28654932,4278657539,Gp0619858,Gb0315961,Targeted Gene Survey
SAMEA7724332,28608534,4264457477,Gp0452662,Gb0240036,Metagenome
SAMEA7724332,28608534,4264457477,Gp0619334,Gb0240036,Targeted Gene Survey
SAMEA7723512,28589066,4268842108,Gp0619463,Gb0315870,Targeted Gene Survey
SAMEA7723512,28589066,4268842108,Gp0618964,Gb0315870,Metagenome
SAMEA7723909,28570164,4241814586,Gp0618869,Gb0315775,Metagenome
SAMEA7723909,28570164,4241814586,Gp0619802,Gb0315775,Targeted Gene Survey
SAMEA7723516,28354242,4226823711,Gp0619467,Gb0315874,Targeted Gene Survey
SAMEA7723516,28354242,4226823711,Gp0618968,Gb0315874,Metagenome
SAMEA7724011,28097978,4197599957,Gp0618944,Gb0315850,Metagenome
SAMEA7724011,28097978,4197599957,Gp0619893,Gb0315850,Targeted Gene Survey
SAMEA7723513,27840766,4148577523,Gp0619464,Gb0315871,Targeted Gene Survey
SAMEA7723513,27840766,4148577523,Gp0618965,Gb0315871,Metagenome
SAMEA7723672,27827712,4149808986,Gp0619620,Gb0297371,Targeted Gene Survey
SAMEA7723672,27827712,4149808986,Gp0578157,Gb0297371,Metagenome
SAMEA7723554,27810166,4124411955,Gp0619505,Gb0297360,Targeted Gene Survey
SAMEA7723554,27810166,4124411955,Gp0578044,Gb0297360,Metagenome
SAMEA7723679,27495956,4106235844,Gp0619627,Gb0315683,Targeted Gene Survey
SAMEA7723679,27495956,4106235844,Gp0618777,Gb0315683,Metagenome
SAMEA7724058,27086200,4008901578,Gp0578408,Gb0297463,Metagenome
SAMEA7724058,27086200,4008901578,Gp0619940,Gb0297463,Targeted Gene Survey
SAMEA7723688,26997462,4035773161,Gp0619636,Gb0297378,Targeted Gene Survey
SAMEA7723688,26997462,4035773161,Gp0578216,Gb0297378,Metagenome
SAMEA7723611,26888372,4008661758,Gp0619562,Gb0315763,Targeted Gene Survey
SAMEA7723611,26888372,4008661758,Gp0618857,Gb0315763,Metagenome
SAMEA7723404,26803084,4000020845,Gp0619373,Gb0297318,Targeted Gene Survey
SAMEA7723404,26803084,4000020845,Gp0577545,Gb0297318,Metagenome
SAMEA7723450,26759384,3993163351,Gp0619161,Gb0240082,Targeted Gene Survey
SAMEA7723450,26759384,3993163351,Gp0452708,Gb0240082,Metagenome
SAMEA7723444,26675608,3981315979,Gp0619404,Gb0315418,Targeted Gene Survey
SAMEA7723444,26675608,3981315979,Gp0618512,Gb0315418,Metagenome
SAMEA7723669,26511318,3943806438,Gp0619044,Gb0315950,Metagenome
SAMEA7723669,26511318,3943806438,Gp0619617,Gb0315950,Targeted Gene Survey
SAMEA7723610,26397842,3941146177,Gp0619561,Gb0297369,Targeted Gene Survey
SAMEA7723610,26397842,3941146177,Gp0578140,Gb0297369,Metagenome
SAMEA7723443,26334912,3933395019,Gp0619403,Gb0315417,Targeted Gene Survey
SAMEA7723443,26334912,3933395019,Gp0618511,Gb0315417,Metagenome
SAMEA7723996,26254818,3913794739,Gp0619075,Gb0315981,Metagenome
SAMEA7723996,26254818,3913794739,Gp0619878,Gb0315981,Targeted Gene Survey
SAMEA7724349,26213008,3671896804,Gp0452679,Gb0240053,Metagenome
SAMEA7724349,26213008,3671896804,Gp0619351,Gb0240053,Targeted Gene Survey
SAMEA7723391,26212566,3919828442,Gp0619360,Gb0315437,Targeted Gene Survey
SAMEA7723391,26212566,3919828442,Gp0618531,Gb0315437,Metagenome
SAMEA7723707,26203312,3900621419,Gp0619655,Gb0315819,Targeted Gene Survey
SAMEA7723707,26203312,3900621419,Gp0618913,Gb0315819,Metagenome
SAMEA7723690,26201826,3912483935,Gp0619638,Gb0315802,Targeted Gene Survey
SAMEA7723690,26201826,3912483935,Gp0618896,Gb0315802,Metagenome
SAMEA7723673,26070122,3884721178,Gp0578165,Gb0297372,Metagenome
SAMEA7723673,26070122,3884721178,Gp0619621,Gb0297372,Targeted Gene Survey
SAMEA7723447,26062312,3887942280,Gp0452685,Gb0240059,Metagenome
SAMEA7723447,26062312,3887942280,Gp0619158,Gb0240059,Targeted Gene Survey
SAMEA7723897,25975588,3881224319,Gp0578336,Gb0297391,Metagenome
SAMEA7723897,25975588,3881224319,Gp0619797,Gb0297391,Targeted Gene Survey
SAMEA7724043,25738488,3843514916,Gp0618555,Gb0315461,Metagenome
SAMEA7724043,25738488,3843514916,Gp0619925,Gb0315461,Targeted Gene Survey
SAMEA7723908,25661174,3826620558,Gp0618868,Gb0315774,Metagenome
SAMEA7723908,25661174,3826620558,Gp0619801,Gb0315774,Targeted Gene Survey
SAMEA7724317,25588130,3819306749,Gp0452657,Gb0240031,Metagenome
SAMEA7724317,25588130,3819306749,Gp0619329,Gb0240031,Targeted Gene Survey
SAMEA7723948,25555028,3807100149,Gp0452557,Gb0239931,Metagenome
SAMEA7723948,25555028,3807100149,Gp0619183,Gb0239931,Targeted Gene Survey
SAMEA7723479,25546078,3820186539,Gp0619430,Gb0297333,Targeted Gene Survey
SAMEA7723479,25546078,3820186539,Gp0577780,Gb0297333,Metagenome
SAMEA7723389,25432646,3798248717,Gp0619358,Gb0315435,Targeted Gene Survey
SAMEA7723389,25432646,3798248717,Gp0618529,Gb0315435,Metagenome
SAMEA7724308,25356582,3795631150,Gp0452648,Gb0240022,Metagenome
SAMEA7724308,25356582,3795631150,Gp0619320,Gb0240022,Targeted Gene Survey
SAMEA7723943,25303940,3748199288,Gp0578354,Gb0297409,Metagenome
SAMEA7723943,25303940,3748199288,Gp0619831,Gb0297409,Targeted Gene Survey
SAMEA7723519,25256500,3675034758,Gp0619470,Gb0315877,Targeted Gene Survey
SAMEA7723519,25256500,3675034758,Gp0618971,Gb0315877,Metagenome
SAMEA7724162,25249470,3751057204,Gp0620017,Gb0316009,Targeted Gene Survey
SAMEA7724162,25249470,3751057204,Gp0619103,Gb0316009,Metagenome
SAMEA7723488,25119556,3750593522,Gp0577853,Gb0297342,Metagenome
SAMEA7723488,25119556,3750593522,Gp0619439,Gb0297342,Targeted Gene Survey
SAMEA7724154,24937036,3711459347,Gp0619095,Gb0316001,Metagenome
SAMEA7724154,24937036,3711459347,Gp0620009,Gb0316001,Targeted Gene Survey
SAMEA7723496,24895894,3714550914,Gp0619447,Gb0315702,Targeted Gene Survey
SAMEA7723496,24895894,3714550914,Gp0618796,Gb0315702,Metagenome
SAMEA7724292,24869992,3705010670,Gp0452645,Gb0240019,Metagenome
SAMEA7724292,24869992,3705010670,Gp0619304,Gb0240019,Targeted Gene Survey
SAMEA7723912,24799030,3699947797,Gp0619805,Gb0315778,Targeted Gene Survey
SAMEA7723912,24799030,3699947797,Gp0618872,Gb0315778,Metagenome
SAMEA7724203,24675078,3671430543,Gp0452690,Gb0240064,Metagenome
SAMEA7724203,24675078,3671430543,Gp0619220,Gb0240064,Targeted Gene Survey
SAMEA7723530,24514298,3654624513,Gp0619481,Gb0315888,Targeted Gene Survey
SAMEA7723530,24514298,3654624513,Gp0618982,Gb0315888,Metagenome
SAMEA7724279,24355026,3640096251,Gp0619291,Gb0240011,Targeted Gene Survey
SAMEA7724279,24355026,3640096251,Gp0452637,Gb0240011,Metagenome
SAMEA7723985,24327824,3628182023,Gp0619064,Gb0315970,Metagenome
SAMEA7723985,24327824,3628182023,Gp0619867,Gb0315970,Targeted Gene Survey
SAMEA7723449,24318698,3629201836,Gp0619160,Gb0240081,Targeted Gene Survey
SAMEA7723449,24318698,3629201836,Gp0452707,Gb0240081,Metagenome
SAMEA7724176,24178642,3533735692,Gp0619117,Gb0316023,Metagenome
SAMEA7724176,24178642,3533735692,Gp0620031,Gb0316023,Targeted Gene Survey
SAMEA7724312,23894278,3560209749,Gp0452652,Gb0240026,Metagenome
SAMEA7724312,23894278,3560209749,Gp0619324,Gb0240026,Targeted Gene Survey
SAMEA7723698,23822070,3554384505,Gp0619646,Gb0315810,Targeted Gene Survey
SAMEA7723698,23822070,3554384505,Gp0618904,Gb0315810,Metagenome
SAMEA7723405,23670368,3506390373,Gp0577557,Gb0297319,Metagenome
SAMEA7723405,23670368,3506390373,Gp0619374,Gb0297319,Targeted Gene Survey
SAMEA7723741,23612448,3531676373,Gp0619689,Gb0315694,Targeted Gene Survey
SAMEA7723741,23612448,3531676373,Gp0618788,Gb0315694,Metagenome
SAMEA7723400,23512412,3496408094,Gp0577502,Gb0297314,Metagenome
SAMEA7723400,23512412,3496408094,Gp0619369,Gb0297314,Targeted Gene Survey
SAMEA7723910,23459600,3505332227,Gp0618870,Gb0315776,Metagenome
SAMEA7723910,23459600,3505332227,Gp0619803,Gb0315776,Targeted Gene Survey
SAMEA7723505,23456544,3464974771,Gp0619456,Gb0315650,Targeted Gene Survey
SAMEA7723505,23456544,3464974771,Gp0618744,Gb0315650,Metagenome
SAMEA7723706,23383212,3461944991,Gp0618912,Gb0315818,Metagenome
SAMEA7723706,23383212,3461944991,Gp0619654,Gb0315818,Targeted Gene Survey
SAMEA7723452,23265104,3465019325,Gp0619405,Gb0315795,Targeted Gene Survey
SAMEA7723452,23265104,3465019325,Gp0618889,Gb0315795,Metagenome
SAMEA7723534,23262892,3464727841,Gp0619485,Gb0315892,Targeted Gene Survey
SAMEA7723534,23262892,3464727841,Gp0618986,Gb0315892,Metagenome
SAMEA7724213,23207872,3472193705,Gp0619230,Gb0240099,Targeted Gene Survey
SAMEA7724213,23207872,3472193705,Gp0452725,Gb0240099,Metagenome
SAMEA7724118,23133384,3455670221,Gp0619201,Gb0239964,Targeted Gene Survey
SAMEA7724118,23133384,3455670221,Gp0452590,Gb0239964,Metagenome
SAMEA7723968,23057560,3427980870,Gp0618748,Gb0315654,Metagenome
SAMEA7723968,23057560,3427980870,Gp0619850,Gb0315654,Targeted Gene Survey
SAMEA7724337,22924064,3413873809,Gp0452667,Gb0240041,Metagenome
SAMEA7724337,22924064,3413873809,Gp0619339,Gb0240041,Targeted Gene Survey
SAMEA7724338,22914500,3408243893,Gp0452668,Gb0240042,Metagenome
SAMEA7724338,22914500,3408243893,Gp0619340,Gb0240042,Targeted Gene Survey
SAMEA7723601,22895754,3420798298,Gp0618854,Gb0315760,Metagenome
SAMEA7723601,22895754,3420798298,Gp0619552,Gb0315760,Targeted Gene Survey
SAMEA7724233,22780368,3406883142,Gp0618779,Gb0315685,Metagenome
SAMEA7724233,22780368,3406883142,Gp0620054,Gb0315685,Targeted Gene Survey
SAMEA7724055,22747290,3391835159,Gp0619937,Gb0297460,Targeted Gene Survey
SAMEA7724055,22747290,3391835159,Gp0578405,Gb0297460,Metagenome
SAMEA7723670,22710574,3378724650,Gp0619045,Gb0315951,Metagenome
SAMEA7723670,22710574,3378724650,Gp0619618,Gb0315951,Targeted Gene Survey
SAMEA7723681,22707778,3327994987,Gp0619629,Gb0315445,Targeted Gene Survey
SAMEA7723681,22707778,3327994987,Gp0618539,Gb0315445,Metagenome
SAMEA7723515,22571920,3310041761,Gp0618967,Gb0315873,Metagenome
SAMEA7723515,22571920,3310041761,Gp0619466,Gb0315873,Targeted Gene Survey
SAMEA7724200,22441902,3348751749,Gp0452699,Gb0240073,Metagenome
SAMEA7724200,22441902,3348751749,Gp0619217,Gb0240073,Targeted Gene Survey
SAMEA7723477,22346610,3343120278,Gp0619163,Gb0239933,Targeted Gene Survey
SAMEA7723477,22346610,3343120278,Gp0452559,Gb0239933,Metagenome
SAMEA7723608,22311212,3328047115,Gp0619559,Gb0316050,Targeted Gene Survey
SAMEA7723608,22311212,3328047115,Gp0619144,Gb0316050,Metagenome
SAMEA7724348,22138328,3271686173,Gp0452678,Gb0240052,Metagenome
SAMEA7724348,22138328,3271686173,Gp0619350,Gb0240052,Targeted Gene Survey
SAMEA7723473,22017702,3253858929,Gp0619426,Gb0315444,Targeted Gene Survey
SAMEA7723473,22017702,3253858929,Gp0618538,Gb0315444,Metagenome
SAMEA7723742,21989276,3282441630,Gp0578226,Gb0297379,Metagenome
SAMEA7723742,21989276,3282441630,Gp0619690,Gb0297379,Targeted Gene Survey
SAMEA7724006,21864742,3262688407,Gp0619888,Gb0297438,Targeted Gene Survey
SAMEA7724006,21864742,3262688407,Gp0578383,Gb0297438,Metagenome
SAMEA7724117,21730854,3235561018,Gp0452589,Gb0239963,Metagenome
SAMEA7724117,21730854,3235561018,Gp0619200,Gb0239963,Targeted Gene Survey
SAMEA7724160,21730444,3232768179,Gp0620015,Gb0316007,Targeted Gene Survey
SAMEA7724160,21730444,3232768179,Gp0619101,Gb0316007,Metagenome
SAMEA7723604,21371336,3186189930,Gp0578126,Gb0297367,Metagenome
SAMEA7723604,21371336,3186189930,Gp0619555,Gb0297367,Targeted Gene Survey
SAMEA7724286,21336306,3182729653,Gp0452577,Gb0239951,Metagenome
SAMEA7724286,21336306,3182729653,Gp0619298,Gb0239951,Targeted Gene Survey
SAMEA7723451,21322376,3189050688,Gp0452700,Gb0240074,Metagenome
SAMEA7723451,21322376,3189050688,Gp0619162,Gb0240074,Targeted Gene Survey
SAMEA7724139,21315714,3160491487,Gp0619080,Gb0315986,Metagenome
SAMEA7724139,21315714,3160491487,Gp0619994,Gb0315986,Targeted Gene Survey
SAMEA7724344,21136840,3121942318,Gp0619346,Gb0240048,Targeted Gene Survey
SAMEA7724344,21136840,3121942318,Gp0452674,Gb0240048,Metagenome
SAMEA7723893,21115312,3149398872,Gp0619793,Gb0315958,Targeted Gene Survey
SAMEA7723893,21115312,3149398872,Gp0619052,Gb0315958,Metagenome
SAMEA7723704,21093468,3134679097,Gp0618910,Gb0315816,Metagenome
SAMEA7723704,21093468,3134679097,Gp0619652,Gb0315816,Targeted Gene Survey
SAMEA7723490,20781414,3106237870,Gp0577870,Gb0297344,Metagenome
SAMEA7723490,20781414,3106237870,Gp0619441,Gb0297344,Targeted Gene Survey
SAMEA7724318,20774584,3106304493,Gp0452658,Gb0240032,Metagenome
SAMEA7724318,20774584,3106304493,Gp0619330,Gb0240032,Targeted Gene Survey
SAMEA7723445,20756434,3101753688,Gp0619156,Gb0240076,Targeted Gene Survey
