column	unit_name	unit_count_in_column
soluble_react_phosp	dimensionless	53
soluble_react_phosp	milligram per litre	15
soluble_react_phosp	micrometre	6
soluble_react_phosp		4
sulfate	dimensionless	1077
sulfate	milligram per litre	357
sulfate	unk	162
sulfate		26
sulfate	milligram per kilogram	23
sulfate	atomic mass unit mole per kilogram	9
sulfate	parts-per-million	9
sulfate	atomic mass unit mole per litre	6
sulfate	micrometre	6
sulfate	metre	4
sulfate	gram per litre	2
sulfate	atomic mass unit gram per litre	1
sulfate	milligram	1
sulfide	dimensionless	160
sulfide	milligram per litre	27
sulfide		25
sulfide	micrometre	25
sulfide	atomic mass unit mole per litre	18
sulfide	unk	12
sulfide	atomic mass unit mole per kilogram	8
sulfide	microsecond mole per litre	3
sulfide	parts-per-million	2
surf_humidity		2
surf_moisture		5
surf_moisture_ph		2
surf_temp	degree angle coulomb	342
surf_temp		2
suspend_part_matter	dimensionless	158
suspend_part_matter		109
suspend_part_matter	milligram per litre	95
suspend_part_matter	nucleotide atomic mass unit	95
suspend_part_matter	candela per square metre atomic mass unit	80
suspend_part_matter	per square metre	19
suspend_part_matter	newton gram per atomic mass unit per litre	3
temp	dimensionless	10866
temp	coulomb	2059
temp		1746
temp	degree Celsius	859
temp	degree angle coulomb	396
temp	degree angle	146
temp	minute of arc	145
temp	degree Celsius degree angle	14
temp	farad	13
temp	speed of light	9
temp	day	6
temp	hour	5
temp	kelvin	5
temp	minute of arc coulomb	4
temp	coulomb degree angle	2
temp	coulomb newton	2
temp	degree angle byte	2
temp	degree angle coulomb day	2
temp	degree angle degree Celsius	2
temp	coulomb ampere-turn	1
temp	coulomb day	1
temp	day gram coulomb	1
temp	degree angle farad	1
temp	degree angle roentgen	1
temp	degree angle roentgen coulomb	1
temp	degree angle speed of light	1
temp	gauss litre atomic mass unit	1
temp	micrometre	1
temp	nanoampere penny	1
temp	per nanoampere	1
temp	per unk to the 16 degree Celsius	1
temp	petayear	1
temp	siemens	1
temp	siemens to the 24	1
temp	year	1
texture	dimensionless	661
texture		539
texture	percentage	2
tot_carb	dimensionless	635
tot_carb	percentage	101
tot_carb		16
tot_depth_water_col	dimensionless	572
tot_depth_water_col	metre	222
tot_depth_water_col	centimetre	12
tot_depth_water_col		7
tot_depth_water_col	foot	1
tot_diss_nitro	dimensionless	631
tot_diss_nitro	microgram per litre	29
tot_diss_nitro	milligram per litre	27
tot_diss_nitro		5
tot_diss_nitro	mole per litre	1
tot_inorg_nitro		13
tot_nitro	dimensionless	6371
tot_nitro		235
tot_nitro	percentage	212
tot_nitro	milligram per litre	92
tot_nitro	parts-per-million	70
tot_nitro	kilogram per hectare	39
tot_nitro	microsecond mole per cubic decimetre	35
tot_nitro	milligram per kilogram	26
tot_nitro	milligram per gram	21
tot_nitro	gram per kilogram	18
tot_nitro	microgram per litre	12
tot_nitro	gram per litre	6
tot_nitro	gram newton	4
tot_nitro	milligram newton per gram	1
tot_nitro	pound-mass	1
tot_nitro	unk	1
tot_org_carb	dimensionless	4927
tot_org_carb	percentage	306
tot_org_carb	parts-per-million	88
tot_org_carb	gram per kilogram	69
tot_org_carb		43
tot_org_carb	milligram per kilogram	27
tot_org_carb	milligram per gram	17
tot_org_carb	coulomb per kilogram	12
tot_org_carb	micrometre	12
tot_org_carb	gram coulomb per kilogram	3
tot_org_carb	milligram per litre	2
tot_org_carb	milligram coulomb per gram	1
tot_part_carb	dimensionless	184
tot_part_carb		5
tot_phosp	dimensionless	1104
tot_phosp	milligram per litre	71
tot_phosp		65
tot_phosp	microsecond mole per cubic decimetre	31
tot_phosp	gram	21
tot_phosp	atomic mass unit gram per litre	12
tot_phosp	microgram per litre	10
tot_phosp	atomic mass unit mole per litre	1
tot_phosphate	dimensionless	98
tot_phosphate		11
tot_phosphate	milligram per litre	7
turbidity	dimensionless	442
turbidity	nucleotide atomic mass unit	49
turbidity	candela per square metre atomic mass unit	10
turbidity		9
turbidity	farad newton atomic mass unit	1
turbidity	metre	1
ventilation_rate		1
ventilation_rate	hour	1
water_content	dimensionless	1546
water_content	percentage	63
water_content		21
water_content	hour	2
water_current		11
water_current	dimensionless	10
water_current	volt	1
wind_speed	dimensionless	80
wind_speed	knot	37
wind_speed	metre per second	14
wind_speed		6
