study_id	template_name
d5f506a2-aa68-4a70-b01a-b5e3e72339d2	soil_jgi_mg
4f188ad8-2731-4635-b401-75e079025f47	soil_jgi_mg
456a82a2-8832-4669-b1a1-7b8fd4a11962	soil_emsl_jgi_mg
cc498964-d1da-416d-b353-aecf5f6c749d	soil_emsl_jgi_mg
71e3bbf8-8f4d-427b-9df4-1d3147993aa4	soil_emsl_jgi_mg
c3870c75-5f0b-47da-a9f3-b4e799c79647	soil_emsl_jgi_mg
f731608c-77d7-4ffb-ac6d-2989a7c44e3f	soil_emsl_jgi_mg
49e40955-31c7-44a7-9e31-8499335019e6	soil_emsl_jgi_mg
822e290d-6837-4956-abb9-996dd5f6d8b9	soil_emsl_jgi_mg
33d31996-171a-4fdf-b2ea-d3936b649529	soil_emsl_jgi_mg
