column	mixs_pref_unit	unit_name	unit_count_in_column
air_temp	degree Celsius	degree Celsius	40
air_temp	degree Celsius	dimensionless	11
bacteria_carb_prod	microgram per liter per hour|nanogram per hour	penny mole	6
chloride	milligram per liter|parts per million	dimensionless	179
chloride	milligram per liter|parts per million	milligram centilitre per litre	22
chloride	milligram per liter|parts per million		4
chloride	milligram per liter|parts per million	milligram per litre	1
depth	meter	dimensionless	899
depth	meter	metre	388
depth	meter	centimetre	179
depth	meter		85
depth	meter	foot	3
depth	meter	millimetre	2
depth	meter	centimetre oersted	1
depth	meter	speed of light	1
diss_carb_dioxide	micromole per liter|milligram per liter	dimensionless	240
diss_carb_dioxide	micromole per liter|milligram per liter		1
diss_carb_dioxide	micromole per liter|milligram per liter	percentage	1
diss_org_nitro	microgram per liter|micromole per liter|milligram per liter	dimensionless	11
diss_org_nitro	microgram per liter|micromole per liter|milligram per liter	milligram per litre	1
elev	meter	dimensionless	1222
elev	meter	metre	213
elev	meter	foot	46
elev	meter		37
elev	meter	centimetre	4
elev	meter	unk second litre	4
elev	meter	minute	1
elev	meter	square kilometre	1
nitrate	micromole per kilogram|micromole per liter|milligram per liter|parts per million	dimensionless	915
nitrate	micromole per kilogram|micromole per liter|milligram per liter|parts per million	milligram per litre	26
nitrate	micromole per kilogram|micromole per liter|milligram per liter|parts per million	milligram newton per litre	22
nitrate	micromole per kilogram|micromole per liter|milligram per liter|parts per million	parts-per-million	9
nitrate	micromole per kilogram|micromole per liter|milligram per liter|parts per million		6
nitrate	micromole per kilogram|micromole per liter|milligram per liter|parts per million	milligram	1
nitrite	micromole per kilogram|micromole per liter|milligram per liter|parts per million	dimensionless	122
nitrite	micromole per kilogram|micromole per liter|milligram per liter|parts per million	milligram per litre	19
nitrite	micromole per kilogram|micromole per liter|milligram per liter|parts per million		2
nitrite	micromole per kilogram|micromole per liter|milligram per liter|parts per million	milligram	1
nitro	micromole per liter	dimensionless	61
nitro	micromole per liter		1
nitro	micromole per liter	milligram per litre	1
phosphate	micromole per liter	dimensionless	373
phosphate	micromole per liter	milligram per litre	25
phosphate	micromole per liter		5
salinity	percentage|practical salinity unit	dimensionless	907
salinity	percentage|practical salinity unit	poise siemens atomic mass unit	138
salinity	percentage|practical salinity unit		9
salinity	percentage|practical salinity unit	percentage	6
salinity	percentage|practical salinity unit	penny second atomic mass unit	5
salinity	percentage|practical salinity unit	gram per litre	3
salinity	percentage|practical salinity unit	per nanoampere	1
samp_salinity	milligram per liter|percentage|practical salinity unit	dimensionless	4
samp_store_temp	degree Celsius	coulomb	3
samp_store_temp	degree Celsius	dimensionless	3
samp_store_temp	degree Celsius		1
samp_store_temp	degree Celsius	degree Celsius	1
samp_store_temp	degree Celsius	degree angle	1
samp_store_temp	degree Celsius	degree angle coulomb	1
slope_aspect	degree	dimensionless	91
slope_aspect	degree		7
slope_gradient	percentage	dimensionless	108
slope_gradient	percentage		1
slope_gradient	percentage	percentage	1
temp	degree Celsius	dimensionless	2977
temp	degree Celsius	degree Celsius	187
temp	degree Celsius	coulomb	47
temp	degree Celsius		6
temp	degree Celsius	degree angle	5
temp	degree Celsius	degree angle coulomb	2
temp	degree Celsius	per nanoampere	1
tot_phosp	micromole per liter|milligram per liter|parts per million	milligram per litre	13
tot_phosp	micromole per liter|milligram per liter|parts per million	dimensionless	8
tot_phosp	micromole per liter|milligram per liter|parts per million		1
tot_phosp	micromole per liter|milligram per liter|parts per million	microgram per litre	1
wind_speed	kilometer per hour|meter per second	knot	37
wind_speed	kilometer per hour|meter per second	dimensionless	21
wind_speed	kilometer per hour|meter per second		1
